fixture_id,league_id,league_name,home_team_id,home_team_name,away_team_id,away_team_name,goals_half_time_home,goals_half_time_away,goals_full_time_home,goals_full_time_away,goals_extra_time_home,goals_extra_time_away,goals_penalty_home,goals_penalty_away,league_round,expected_goals_home,shots_on_goal_home,shots_off_goal_home,shots_insidebox_home,shots_outsidebox_home,total_shots_home,blocked_shots_home,fouls_home,corner_kicks_home,offsides_home,ball_possession_home,yellow_cards_home,red_cards_home,goalkeeper_saves_home,total_passes_home,passes_accurate_home,passes_percentage_home,expected_goals_away,shots_on_goal_away,shots_off_goal_away,shots_insidebox_away,shots_outsidebox_away,total_shots_away,blocked_shots_away,fouls_away,corner_kicks_away,offsides_away,ball_possession_away,yellow_cards_away,red_cards_away,goalkeeper_saves_away,total_passes_away,passes_accurate_away,passes_percentage_away,formation_home,formation_away,start_xi_home,substitutions_home,coach_home_team,start_xi_away,substitutions_away,coach_away_team
1035528,39,Premier League,49,Chelsea,48,West Ham,3,0,5,0,,,,,Regular Season - 36,4.22,14.0,4.0,19.0,6.0,25.0,7.0,12.0,8.0,1.0,0.69,1.0,,2.0,741.0,692.0,0.93,0.88,2.0,8.0,8.0,5.0,13.0,3.0,10.0,6.0,0.0,0.31,3.0,,9.0,312.0,255.0,0.82,4-2-3-1,4-2-3-1,"['118307', '19720', '259', '95', '47380', '116117', '67972', '136723', '152982', '63577', '283058']","['270507', '269', '21998', '161907', '284406', '152953', '415001', '19012', '645']",,"['253', '1231', '2726', '18817', '2284', '2869', '1243', '19428', '1646', '15911', '18819']","['2938', '18955', '18813', '288116', '18823', '291363', '2997', '284409', '665']",
194179,39,Premier League,66,Aston Villa,47,Tottenham,1,0,1,1,,,,,Regular Season - 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['90516', '19178', '114757', '82340', '111312', '18891', '19413', '90492', '114752', '60154', '114851']","['19283', '19722', '20064', '50869', '19387', '19527', '20113']",,"['114766', '114808', '90503', '627', '114799', '18925', '754', '758', '167', '30813', '49861']","['83032', '114820', '105371', '1758', '114825', '19160', '114809']",
193019,39,Premier League,40,Liverpool,72,QPR,1,0,2,1,,,,,Regular Season - 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['282', '90491', '1350', '287', '105422', '295', '292', '147', '864', '645', '83027']","['18876', '19028', '1858', '104129', '288', '19502', '18146']",,"['2277', '51199', '114757', '88449', '49931', '90514', '20500', '19326', '19164', '30813', '18952']","['34652', '114761', '103165', '18935', '104745', '19007', '17902']",
194009,39,Premier League,72,QPR,71,Norwich,1,1,1,2,,,,,Regular Season - 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['114883', '114777', '45001', '114850', '88449', '90514', '578', '114816', '95570', '114869', '20124']","['103165', '26759', '114836', '114881', '18988', '114875', '114898']",,"['18737', '114874', '114849', '17426', '19233', '82826', '19474', '19561', '19216', '45018', '82563']","['19653', '19158', '20401', '18879', '19434', '20256', '19318']",
193022,39,Premier League,48,West Ham,44,Burnley,1,0,1,0,,,,,Regular Season - 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['18812', '19722', '18813', '1441', '19408', '19238', '85757', '114743', '18826', '2991', '35533']","['9970', '114758', '20439', '69261', '114765', '48528', '25293']",,"['2931', '17363', '114762', '169', '18917', '17727', '19390', '1747', '18927', '19388', '18955']","['2934', '17795', '20087', '20340', '114759', '19534', '17355']",
193018,39,Premier League,66,Aston Villa,45,Everton,2,0,3,2,,,,,Regular Season - 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['90516', '36891', '15718', '114752', '87315', '630', '18926', '18804', '18997', '19187', '2928']","['18827', '19178', '102748', '50869', '1133', '19283', '104780']",,"['51298', '18759', '18757', '18758', '626', '18925', '19153', '18763', '44881', '30412', '907']","['2287', '114746', '1558', '19907', '50102', '19236', '70752']",
592302,39,Premier League,44,Burnley,36,Fulham,0,0,1,1,,,,,Regular Season - 17,,3.0,5.0,7.0,1.0,8.0,0.0,7.0,5.0,6.0,0.46,1.0,,2.0,400.0,272.0,0.68,,3.0,4.0,5.0,3.0,8.0,1.0,13.0,5.0,0.0,0.54,1.0,,2.0,477.0,349.0,0.73,4-4-2,4-4-1-1,"['18911', '18915', '18916', '2936', '18918', '18922', '2790', '18926', '19169', '18927', '18929']","['18921', '19268', '18920', '19115', '19886', '18913', '18736', '204178', '18912']",,"['253', '657', '2729', '2771', '19145', '18947', '19004', '2292', '19480', '18767', '1279']","['3406', '18751', '19549', '19043', '19657', '19373', '19023', '19393', '19022']",
194244,39,Premier League,75,Stoke City,39,Wolves,2,0,3,0,,,,,Regular Season - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['18858', '90512', '114769', '19498', '114771', '87877', '114824', '19193', '19698', '105409', '81993']","['83025', '17924', '114878', '77110', '17828', '115943', '114792']",,"['18836', '44857', '51004', '114873', '18919', '19096', '87925', '20500', '20340', '20439', '19398']","['19513', '114845', '19301', '115976', '359', '113804', '87875']",
193021,39,Premier League,76,Swansea,75,Stoke City,0,0,2,0,,,,,Regular Season - 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['2997', '19181', '19500', '19583', '18893', '19325', '18922', '18904', '2795', '19161', '19624']","['83022', '18900', '19622', '19328', '82585', '90508', '53466']",,"['2930', '21383', '18912', '19498', '19698', '19501', '19193', '780', '81993', '18830', '19511']","['90492', '29433', '18928', '87328', '83018', '47508', '77110']",
194245,39,Premier League,36,Fulham,68,Bolton,1,0,3,0,,,,,Regular Season - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['104311', '36006', '44863', '114751', '82017', '105378', '83018', '114838', '114866', '2921', '100486']","['114761', '114855', '114768', '19979', '83259', '104780', '47545']",,"['114765', '114867', '114884', '2281', '82001', '17727', '114848', '115947', '2905', '100187', '114856']","['19697', '114868', '114847', '44827', '114864', '935', '114885']",
