game_id,minute,home_team_possession,away_team_possession
1729304,60,33.9,66.1
1729304,70,34.1,65.9
1729304,80,32.7,67.3
1729304,90,32.4,67.6
1729304,90+6,31.9,68.1
1729336,10,22.9,77.1
1729336,20,34.9,65.1
1729336,30,32.4,67.6
1729336,40,34.5,65.5
1729336,45+3,35.4,64.6
1729336,50,36.2,63.8
1729336,60,33.2,66.8
1729336,70,33.3,66.7
1729336,80,33.2,66.8
1729336,90,32.8,67.2
1729336,90+3,33.0,67.0
1640853,10,53.5,46.5
1640853,20,53.0,47.0
1640853,30,49.6,50.4
1640853,40,48.6,51.4
1640853,45+1,46.4,53.6
1640853,50,47.8,52.2
1640853,60,47.7,52.3
1640853,70,46.5,53.5
1640853,80,44.9,55.1
1640853,90,45.0,55.0
1640853,90+5,45.7,54.3
1640834,10,72.1,27.9
1640834,20,70.9,29.1
1640834,30,68.6,31.4
1640834,40,70.8,29.2
1640834,45+5,71.7,28.3
1640834,50,71.4,28.6
1640834,60,69.3,30.7
1640834,70,66.5,33.5
1640834,80,67.5,32.5
1640834,90,68.4,31.6
1640834,90+4,66.5,33.5
1729261,10,45.7,54.3
1729261,20,44.4,55.6
1729261,30,44.5,55.5
1729261,40,41.1,58.9
1729261,45+2,41.2,58.8
1729261,50,42.2,57.8
1729261,60,42.2,57.8
1729261,70,42.5,57.5
1729261,80,44.3,55.7
1729261,90,46.6,53.4
1729261,90+6,46.8,53.2
1729262,10,90.2,9.8
1729262,20,83.3,16.7
1729262,30,76.9,23.1
1729262,40,70.8,29.2
1729262,45+3,69.2,30.8
1729262,50,68.3,31.7
1729262,60,65.9,34.1
1729262,70,66.2,33.8
1729262,80,68.3,31.7
1729262,90,67.2,32.8
1729262,90+10,66.4,33.6
1729262,90+13,66.3,33.7
1729235,10,53.9,46.1
1729235,20,44.2,55.8
1729235,30,41.3,58.7
1729235,40,46.9,53.1
1729235,45+4,48.5,51.5
1729235,50,53.0,47.0
1729235,60,49.4,50.6
1729235,70,47.6,52.4
1729235,80,45.0,55.0
1729235,90,42.6,57.4
1729235,90+8,40.9,59.1
1640859,10,37.6,62.4
1640859,20,46.0,54.0
1640859,30,47.1,52.9
1640859,40,53.1,46.9
1640859,45+2,53.3,46.7
1640859,50,52.1,47.9
1640859,60,50.9,49.1
1640859,70,51.0,49.0
1640859,80,49.5,50.5
1640859,90,48.9,51.1
1640859,90+3,48.9,51.1
1729214,10,56.3,43.8
1729214,20,48.9,51.1
1729214,30,61.3,38.7
1729214,40,65.8,34.2
1729214,45+4,63.4,36.6
1729214,50,62.5,37.5
1729214,60,63.3,36.7
1729214,70,58.9,41.1
1729214,80,57.2,42.8
1729214,90,55.8,44.2
1729214,90+9,54.5,45.5
1729506,10,56.2,43.8
1729506,20,34.6,65.4
1729506,30,37.0,63.0
1729506,40,38.7,61.3
1729506,45+2,36.7,63.3
1729506,50,38.2,61.8
1729506,60,37.6,62.4
1729506,70,38.1,61.9
1729506,80,37.6,62.4
1729506,90,34.9,65.1
1729506,90+7,34.8,65.2
1640817,10,43.9,56.1
1640817,20,43.9,56.1
1640817,30,55.8,44.2
1640817,40,56.5,43.5
1640817,45+3,61.3,38.7
1640817,50,62.6,37.4
1640817,60,63.8,36.2
1640817,70,63.8,36.2
1640817,80,63.9,36.1
1640817,90,61.2,38.8
1640817,90+5,60.9,39.1
1729540,10,65.8,34.2
1729540,20,62.5,37.5
1729540,30,61.8,38.2
1729540,40,64.3,35.7
1729540,45+1,61.8,38.2
1729540,50,60.4,39.6
1729540,60,59.8,40.2
1729540,70,61.0,39.0
1729540,80,60.3,39.7
1729540,90,60.3,39.7
1729540,90+8,60.0,40.0
1729528,10,63.1,36.9
1729528,20,52.0,48.0
1729528,30,48.0,52.0
1729528,40,47.0,53.0
1729528,45+1,47.1,52.9
1729528,50,48.0,52.0
1729528,60,48.7,51.3
1729528,70,47.3,52.7
1729528,80,48.9,51.1
1729528,90,47.3,52.7
1729528,90+10,45.2,54.8
1640965,10,52.5,47.5
1640965,20,52.3,47.7
1640965,30,56.8,43.2
1640965,40,53.0,47.0
1640965,45+4,52.2,47.8
1640965,50,53.9,46.1
1640965,60,55.2,44.8
1640965,70,56.5,43.5
1640965,80,56.8,43.2
1640965,90,58.3,41.7
1640965,90+6,59.0,41.0
1641039,10,76.5,23.5
1641039,20,80.6,19.4
1641039,30,82.3,17.7
1641039,40,82.6,17.4
1641039,45+2,83.4,16.6
1641039,50,83.7,16.3
1641039,60,82.2,17.8
1641039,70,82.0,18.0
1641039,80,81.9,18.1
1641039,90,81.5,18.5
1641039,90+5,80.9,19.1
1729510,10,48.4,51.6
1729510,20,38.2,61.8
1729510,30,43.4,56.6
1729510,40,39.3,60.7
1729510,45+3,37.8,62.2
1729510,50,37.9,62.1
1729510,60,36.7,63.3
1729510,70,34.6,65.4
1729510,80,34.6,65.4
1729510,90,34.6,65.4
1729510,90+6,34.5,65.5
1729308,10,66.5,33.5
1729308,20,51.1,48.9
1729308,30,41.8,58.2
1729308,40,49.3,50.7
1729308,45+2,48.4,51.6
1729308,50,49.1,50.9
1729308,60,52.0,48.0
1729308,70,54.0,46.0
1729308,80,54.0,46.0
1729308,90,53.2,46.8
1729308,90+5,52.0,48.0
1640771,10,67.0,33.0
1640771,20,68.5,31.5
1640771,30,64.1,35.9
1640771,40,66.5,33.5
1640771,45+2,61.5,38.5
1640771,50,58.1,41.9
1640771,60,55.3,44.7
1640771,70,56.4,43.6
1640771,80,56.6,43.4
1640771,90,55.2,44.8
1640771,90+3,54.4,45.6
1641037,10,67.8,32.2
1641037,20,61.5,38.5
1641037,30,59.3,40.7
1641037,40,60.6,39.4
1641037,45+1,60.9,39.1
1641037,50,59.4,40.6
1641037,60,59.4,40.6
1641037,70,57.8,42.2
1641037,80,58.2,41.8
1641037,90,58.3,41.7
1641037,90+6,57.1,42.9
1640950,10,10.2,89.8
1640950,20,12.6,87.4
1640950,30,15.4,84.6
1640950,40,15.3,84.7
1640950,45+1,16.1,83.9
1640950,50,17.9,82.1
1640950,60,20.4,79.6
1640950,70,21.6,78.4
1640950,80,25.3,74.7
1640950,90,27.0,73.0
1640950,90+4,27.0,73.0
1729480,10,62.6,37.4
1729480,20,59.5,40.5
1729480,30,60.5,39.5
1729480,40,65.9,34.1
1729480,45+3,66.2,33.8
1729480,50,67.5,32.5
1729480,60,66.4,33.6
1729480,70,68.0,32.0
1729480,80,70.1,29.9
1729480,90,70.9,29.1
1729480,90+7,71.1,28.9
1640770,10,55.9,44.1
1640770,20,66.8,33.2
1640770,30,65.4,34.6
1640770,40,62.7,37.3
1640770,45+2,63.2,36.8
1640770,50,63.7,36.3
1640770,60,65.5,34.5
1640770,70,67.0,33.0
1640770,80,66.2,33.8
1640770,90,65.3,34.7
1640770,90+3,65.2,34.8
1729524,10,52.4,47.6
1729524,20,55.3,44.7
1729524,30,48.4,51.6
1729524,40,48.2,51.8
1729524,45+4,44.1,55.9
1729524,50,44.8,55.2
1729524,60,42.6,57.4
1729524,70,42.2,57.8
1729524,80,39.2,60.8
1729524,90,40.2,59.8
1729524,90+6,39.5,60.5
1640790,10,41.3,58.7
1640790,20,55.7,44.3
1640790,30,56.5,43.5
1640790,40,56.7,43.3
1640790,45+4,56.5,43.5
1640790,50,57.6,42.4
1640790,60,60.0,40.0
1640790,70,59.1,40.9
1640790,80,54.3,45.7
1640790,90,52.1,47.9
1640790,90+4,51.3,48.7
1640707,10,47.1,52.9
1640707,20,49.7,50.3
1640707,30,51.1,48.9
1640707,40,50.6,49.4
1640707,45+3,45.9,54.1
1640707,50,45.2,54.8
1640707,60,46.7,53.3
1640707,70,46.3,53.7
1640707,80,44.4,55.6
1640707,90,42.8,57.2
1640707,90+5,42.8,57.2
1640893,10,49.7,50.3
1640893,20,43.9,56.1
1640893,30,42.4,57.6
1640893,40,42.7,57.3
1640893,45+5,44.9,55.1
1640893,45+8,44.6,55.4
1640893,50,46.5,53.5
1640893,60,49.6,50.4
1640893,70,50.1,49.9
1640893,80,47.0,53.0
1640893,90,46.3,53.7
1640893,90+4,46.5,53.5
1640675,10,37.3,62.7
1640675,20,29.5,70.5
1640675,30,30.1,69.9
1640675,40,30.0,70.0
1640675,45+2,28.4,71.6
1640675,50,31.9,68.1
1640675,60,32.8,67.2
1640675,70,32.3,67.7
1640675,80,32.0,68.0
1640675,90,33.2,66.8
1640675,90+5,33.1,66.9
1640795,10,35.7,64.3
1640795,20,42.1,57.9
1640795,30,38.8,61.2
1640795,40,43.7,56.3
1640795,45+1,47.8,52.2
1640795,50,51.0,49.0
1640795,60,49.9,50.1
1640795,70,49.1,50.9
1640795,80,48.7,51.3
1640795,90,48.2,51.8
1640795,90+6,47.9,52.1
1640886,10,32.3,67.7
1640886,20,41.8,58.2
1640886,30,44.4,55.6
1640886,40,42.2,57.8
1640886,45+4,42.0,58.0
1640886,50,40.8,59.2
1640886,60,38.9,61.1
1640886,70,38.1,61.9
1640886,80,37.1,62.9
1640886,90,36.2,63.8
1640886,90+4,36.6,63.4
1729223,10,62.7,37.3
1729223,20,62.8,37.2
1729223,30,68.8,31.2
1729223,40,65.8,34.2
1729223,45+3,66.7,33.3
1729223,50,64.5,35.5
1729223,60,65.9,34.1
1729223,70,67.5,32.5
1729223,80,68.8,31.3
1729223,90,68.7,31.3
1729223,90+7,68.8,31.2
1640954,10,74.8,25.2
1640954,20,61.5,38.5
1640954,30,67.7,32.3
1640954,40,70.6,29.4
1640954,45+1,68.0,32.0
1640954,50,67.6,32.4
1640954,60,68.5,31.5
1640954,70,68.3,31.7
1640954,80,67.3,32.7
1640954,90,68.0,32.0
1640954,90+6,68.6,31.4
1729431,10,18.3,81.7
1729431,20,30.7,69.3
1729431,30,36.8,63.2
1729431,40,40.6,59.4
1729431,45+4,42.3,57.7
