season,player_id,firstname,lastname,age,height,weight,appearances,lineups,minutes_played,position,rating,captain,substitutions_in,substitutions_out,bench_appearances,total_shots,shots_on_target,total_goals,assists,goals_conceded,saves,total_passes,key_passes,pass_accuracy,total_tackles,blocks,interceptions,total_duels,duels_won,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,fouls_committed,yellow_cards,yellow_red_cards,red_cards,penalties_won,penalties_committed,penalties_scored,penalties_missed,penalties_saved
2023,19586,Eberechi Oluchi,Eze,26.0,178,73,27,24,2063,Midfielder,7.565384,False,3,12,3,55,34,11,4,0,0,790,54,0,35,2,11,340,164,133,69,0,48,27,3,0,0,0,0,1,0,0
2023,2490,Jefferson Andrés,Lerma Solís,30.0,179,70,28,27,2404,Midfielder,7.060714,False,1,5,1,29,9,1,1,0,0,1225,24,0,42,12,36,263,147,17,11,0,25,43,8,0,0,0,0,0,0,0
2023,126949,Christopher Jeffrey,Richards,24.0,188,87,26,23,2091,Defender,6.88,False,3,0,12,9,3,1,1,0,0,924,6,0,46,12,27,185,115,1,1,0,7,12,3,0,0,0,0,0,0,0
2023,18862,Nathaniel Edwin,Clyne,33.0,175,67,19,14,1337,Defender,6.827777,False,5,4,23,3,0,0,0,0,0,533,3,0,24,6,10,75,48,14,8,0,3,6,0,0,0,0,0,0,0,0
2023,13736,Daniel,Muñoz Mejía,28.0,180,73,16,16,1440,Defender,7.1875,False,0,1,0,5,0,0,4,0,0,566,21,0,55,7,24,197,102,25,13,0,8,30,4,0,0,0,0,0,0,0
2023,182201,Tyrick Kwon,Mitchell,25.0,175,68,37,37,3209,Defender,6.916216,False,0,6,0,8,4,2,3,0,0,1206,24,0,106,10,26,268,160,34,17,0,16,22,6,0,0,0,0,0,0,0
2023,18847,Joel Edward Philip,Ward,35.0,188,83,26,23,1981,Defender,6.656,False,3,4,8,7,0,0,1,0,0,802,3,0,45,10,14,199,105,12,8,0,6,22,4,0,0,0,0,0,0,0
2023,19684,Remi Luke,Matthews,30.0,184,78,1,0,3,Goalkeeper,6.3,False,1,0,29,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,19088,Dean Bradley,Henderson,27.0,188,85,18,18,1620,Goalkeeper,6.85,False,0,0,7,0,0,0,0,30,58,430,0,0,1,0,0,8,7,0,0,0,2,0,2,0,0,0,0,0,0,0
2023,270139,Jake,O'Brien,23.0,197,92,0,0,0,Defender,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1135,Odsonne,Édouard,26.0,187,83,30,17,1554,Attacker,6.823333,False,13,12,16,33,19,7,0,0,0,337,18,0,24,1,6,244,95,43,19,0,22,31,4,0,0,0,0,0,0,0
2023,3428,Jordan Pierre,Ayew,33.0,182,80,35,30,2551,Attacker,7.005882,False,5,12,6,36,20,4,7,0,0,811,24,0,65,2,16,504,243,108,51,0,94,46,8,1,0,0,0,0,0,0
2023,2729,Joachim Christian,Andersen,28.0,192,86,38,38,3418,Defender,7.03421,False,0,2,0,16,8,2,3,0,0,2151,20,44,56,18,42,290,182,20,14,0,23,43,7,0,0,0,0,0,0,0
2023,18835,Vicente,Guaita Panadero,37.0,190,81,0,0,0,Goalkeeper,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,340136,Franco,Umeh-Chibueze,19.0,,,0,0,0,Attacker,,False,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,25927,Jean-Philippe,Mateta,27.0,192,88,35,25,2284,Attacker,6.974285,False,10,12,12,39,29,16,5,0,0,413,32,0,22,4,4,340,119,61,25,0,22,35,3,0,0,0,0,2,0,0
2023,311157,Matheus,França de Oliveira,20.0,178,67,10,1,224,Attacker,6.59,False,9,1,18,6,2,0,1,0,0,65,6,0,3,0,1,43,10,13,4,0,2,6,1,0,0,0,0,0,0,0
2023,107087,Scott Brian,Banks,23.0,183,74,0,0,0,Attacker,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,19143,Samuel Luke,Johnstone,31.0,193,85,20,20,1797,Goalkeeper,6.845,False,0,1,4,0,0,0,0,0,41,531,0,0,1,0,1,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0
2023,284449,Jesurun,Rak-Sakyi,22.0,178,,6,0,130,Midfielder,6.775,False,6,0,13,1,1,0,0,0,0,47,2,0,4,0,3,26,15,9,4,0,5,1,0,0,0,0,0,0,0,0
2023,270357,Killian,Phillips,22.0,,,0,0,0,Midfielder,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,106086,Kofi,Balmer,24.0,183,70,0,0,0,Defender,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,304319,Ademola,Oladipupo Ola-Adebomi,21.0,,,0,0,0,Attacker,,False,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,196856,Daniel Edward Peter,Imray,21.0,,,0,0,0,Defender,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,284554,Owen Olamidayo,Goodman,21.0,193,,0,0,0,Goalkeeper,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,304320,David Ikechukwu,Ozoh,19.0,,,9,0,147,Midfielder,6.5125,False,9,0,24,0,0,0,0,0,0,51,0,0,10,0,0,28,14,3,1,0,0,2,1,0,0,0,0,0,0,0
2023,328808,Malcolm,Perewari Ebiowei,21.0,185,80,0,0,0,Attacker,,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,266203,John-Kymani Linton Michael,Gordon,21.0,181,,0,0,0,Attacker,,False,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,152418,Naouirou Mohamed,Ahamada,22.0,183,73,20,0,333,Midfielder,6.395,False,20,0,34,5,2,0,0,0,0,179,1,0,13,0,2,66,29,12,7,0,6,9,3,1,0,0,0,0,0,0
2023,3247,Dazet Wilfried,Armel Zaha,32.0,180,66,0,0,0,Attacker,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,18853,JaÃ¯ro Jocquim,Riedewald,28.0,182,79,9,2,229,Midfielder,6.611111,False,7,2,27,1,0,0,0,0,0,108,0,0,9,0,2,26,15,3,1,0,2,3,0,0,0,0,0,0,0,0
2023,284559,Alexander Paul,Borto,20.0,188,80,0,0,0,Goalkeeper,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,384981,Samuel,Amissah,16.0,,,0,0,0,Defender,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,278086,Idris Adewale,Olarewaju Odutayo,21.0,,,0,0,0,Defender,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,284471,Stefan Charles Earl,Parkes,19.0,,,0,0,0,Defender,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,327728,Delano,McCoy-Splatt,19.0,,,0,0,0,Midfielder,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,359386,Becket Fabrice-Martial,Godo,20.0,,,0,0,0,Attacker,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,18751,Ivan Ricardo,Neves Abreu Cavaleiro,30.0,175,72,0,0,0,Attacker,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,18972,Anthony Patrick,Knockaert,32.0,172,69,0,0,0,Midfielder,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,105,Fodé,Ballo-Touré,27.0,182,70,6,0,66,Defender,6.533333,False,6,0,22,0,0,0,0,0,0,55,0,0,4,0,3,18,9,5,3,0,2,4,1,0,0,0,0,0,0,0
2023,2887,Raúl Alonso,Jiménez Rodríguez,33.0,190,76,24,18,1403,Attacker,6.804166,False,6,13,11,31,17,7,0,0,0,372,11,0,18,3,4,226,93,22,10,0,21,17,3,0,1,0,0,0,0,0
2023,191971,Jay,Stansfield,22.0,,,0,0,0,Attacker,,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,284475,Luke Bernard,Harris,19.0,177,,1,0,74,Midfielder,5.9,False,1,0,5,1,1,0,0,0,0,14,0,0,1,0,0,8,3,2,0,0,2,2,0,0,0,0,0,0,0,0
2023,129707,Tyrese Jay,Francois,24.0,173,60,0,0,0,Midfielder,,False,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,153420,George Alexander,Wickens,23.0,195,,0,0,0,Goalkeeper,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,284470,Matthew Max,Dibley-Dias,21.0,183,,0,0,0,Midfielder,,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,335116,Kristian,Šekularac,21.0,,,0,0,0,Midfielder,,False,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,19657,Marek,Rodák,28.0,194,81,0,0,0,Goalkeeper,,False,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,1438,Bernd,Leno,32.0,189,82,38,38,3420,Goalkeeper,7.073684,False,0,0,0,0,0,0,0,61,134,1407,0,0,0,0,0,14,13,0,0,0,3,0,3,0,0,0,0,0,0,0
2023,138822,Armando,Broja,23.0,191,83,8,0,81,Attacker,6.576923,False,8,0,12,9,2,0,0,0,0,93,3,0,3,1,0,76,28,29,13,0,8,4,0,0,0,0,0,0,0,0
2023,19004,Bobby Armani,De Cordova-Reid,31.0,170,68,33,17,1424,Attacker,6.76875,False,16,16,21,26,8,6,2,0,0,440,17,0,22,2,5,142,68,20,8,0,25,16,4,0,0,0,0,0,0,0
2023,1455,Alexander Chuka,Iwobi,28.0,180,75,30,25,2202,Attacker,7.0,False,5,16,5,3,2,5,0,0,0,30,4,0,2,0,1,8,5,4,3,0,0,0,2,0,0,0,0,0,0,0
2023,104,Carlos Vinícius,Alves Morais,29.0,190,86,13,2,306,Attacker,6.623076,False,11,2,18,9,5,2,0,0,0,61,5,0,3,0,0,43,11,8,2,0,2,4,2,0,0,0,0,0,0,0
2023,18753,Adama,Traoré Diarra,28.0,178,86,17,1,362,Attacker,6.764705,False,16,1,18,10,7,2,3,0,0,111,7,0,4,0,1,55,26,15,9,0,4,5,2,0,0,0,0,0,0,0
2023,195106,Rodrigo,Muniz Carvalho,23.0,178,67,26,18,1596,Attacker,7.14,False,8,11,15,56,27,9,1,0,0,219,18,0,7,3,6,305,120,18,5,0,34,25,1,0,0,0,0,0,0,0
2023,389315,Joshua David Steven,King,17.0,,,0,0,0,Midfielder,,False,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,2823,Saša,Lukić,28.0,183,76,24,13,1117,Midfielder,6.695454,False,11,8,20,8,3,1,0,0,0,489,11,0,33,5,16,127,58,8,5,0,9,27,3,0,0,0,0,0,0,0
2023,899,Andreas Hugo,Hoelgebaum Pereira,28.0,178,71,37,34,2638,Midfielder,7.086486,False,3,29,4,40,16,3,7,0,0,1062,85,0,25,2,4,233,83,41,19,0,26,22,6,0,0,0,0,0,0,0
2023,19025,Thomas,Cairney,33.0,185,84,34,14,1475,Midfielder,6.994117,False,20,8,24,14,8,1,4,0,0,1240,26,0,24,4,13,147,87,31,26,0,23,15,3,0,0,0,0,0,0,0
2023,19221,Harry,Wilson,27.0,173,63,35,16,1613,Midfielder,6.988235,False,19,11,20,29,13,4,6,0,0,582,23,0,21,3,10,153,81,31,15,0,40,21,6,0,0,0,0,0,0,0
2023,19480,Harrison James,Reed,29.0,181,72,27,15,1323,Midfielder,6.768,False,12,9,22,7,2,0,2,0,0,722,15,0,29,9,11,128,53,10,5,0,10,26,6,0,0,0,0,0,0,0
2023,327738,Luc,Rollet De Fougerolles,19.0,183,,0,0,0,Defender,,False,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,19549,Antonee,Robinson,27.0,183,70,37,37,3269,Defender,6.991891,False,0,5,0,10,7,0,6,0,0,1627,34,0,93,8,80,361,192,72,37,0,20,34,6,0,0,0,0,0,0,0
2023,18814,Issa Laye Lucas Jean,Diop,27.0,194,92,18,16,1426,Defender,6.883333,False,2,2,5,4,1,0,0,0,0,1074,0,52,30,19,17,103,60,1,1,0,4,17,3,1,0,0,0,0,0,0
2023,2920,Timothy,Castagne,29.0,185,80,34,29,2632,Defender,6.827272,False,5,4,6,10,5,1,3,0,0,1348,18,0,49,10,38,203,111,27,17,0,10,22,3,0,0,0,0,0,0,0
2023,152967,Calvin Chinedu,Bassey,25.0,185,76,29,25,2300,Defender,6.775,False,4,0,8,4,2,1,0,0,0,1667,1,49,49,11,28,158,101,13,11,0,11,15,5,1,0,0,0,0,0,0
2023,657,Kenny Joelle,Tete,29.0,180,71,14,10,868,Defender,6.807142,False,4,5,18,4,1,1,0,0,0,422,3,0,27,3,16,93,53,19,9,0,12,16,2,0,0,0,0,0,0,0
2023,19312,Steven-Andreas,Benda,26.0,192,83,0,0,0,Goalkeeper,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,19145,Abdul-Nasir Oluwatosin,Oluwadoyinsolami Adarabioyo,27.0,196,80,20,18,1616,Defender,7.015789,False,2,1,4,12,5,2,0,0,0,1208,2,56,21,11,25,132,82,1,1,0,5,10,2,0,0,0,0,0,0,0
2023,41104,João Maria,Lobo Alves Palhares Costa Palh,29.0,190,84,33,31,2711,Midfielder,7.148484,False,2,13,2,33,14,4,1,0,0,1321,13,0,152,9,46,425,259,20,11,0,56,52,13,0,0,0,0,0,0,0
2023,2294,Willian,Borges da Silva,36.0,175,77,31,24,2061,Midfielder,7.119354,False,7,15,9,28,18,4,2,0,0,1058,45,0,18,0,9,179,86,54,29,0,30,9,1,0,0,0,0,2,0,0
2023,19023,Timothy Michael,Ream,37.0,183,80,18,17,1504,Defender,6.783333,False,1,1,14,1,1,1,0,0,0,1057,0,52,20,15,25,97,57,7,6,0,6,8,3,1,0,0,0,0,0,0
2023,2825,Aleksandar,Mitrović,30.0,189,89,1,0,32,Attacker,7.3,False,1,0,1,1,1,0,0,0,0,8,0,0,0,0,0,6,5,3,3,0,0,0,0,0,0,0,0,0,0,0
2023,297635,Devan,Austin Tanton Pedraza,20.0,176,74,0,0,0,Defender,,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,19043,Terence,Kongolo,30.0,188,70,0,0,0,Defender,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,946,Melingo Kevin,Mbabu,29.0,184,83,0,0,0,Defender,,False,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,278088,Carl Andrew,Rushworth,22.0,,,0,0,0,Goalkeeper,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,69257,Walter James,Byrne Furlong,21.0,178,72,0,0,0,Defender,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,342191,Adrian,Mazilu,19.0,,,0,0,0,Attacker,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,296121,Jack Samuel Lawrence,Hinchy,21.0,180,70,0,0,0,Midfielder,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,284531,Benjamin Harvey,Jackson,21.0,190,78,0,0,0,Defender,,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,167656,Marc Henry,Leonard,23.0,,,0,0,0,Midfielder,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
